"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3531","TC_20_Default_Plan_Checking","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","54483","TC_14_Classic_Manual_Input_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","12865","TC_07_Exit_Intent_Popup_Trigger_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5441","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","50005","TC_17_EU_VIN_Confirmation_No","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","55346","TC_13_Classic_VIN_YMM_Edit_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","6010","TC_23_Sticker_Upsell_Text_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","36864","TC_05_Window_Sticker_Revisit_Banner_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","4743","TC_01_VIN_Decode_17_Character_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5833","TC_22_VHR_Upsell_Text_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5395","TC_06_Preview_Page_Plan_Selection_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","23595","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5314","TC_02_VIN_Decode_Classic_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5607","TC_02_VIN_Decode_Classic_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","19518","TC_15_Classic_Editible_Specs_Update","Mobile Chrome","2026-09-13","skipped","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","6378","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","36507","TC_15_Classic_Editible_Specs_Update","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","15128","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","4795","TC_22_VHR_Upsell_Text_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","31598","TC_04_VHR_Revisit_Banner_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5982","TC_06_Preview_Page_Plan_Selection_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","40920","TC_17_EU_VIN_Confirmation_No","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","152","TC_07_Exit_Intent_Popup_Trigger_Validation","Mobile Chrome","2026-09-13","skipped","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","3239","TC_21_Window_Sticker_Default_Plan","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","24751","TC_05_Window_Sticker_Revisit_Banner_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","27375","TC_04_VHR_Revisit_Banner_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","33867","TC_14_Classic_Manual_Input_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5121","TC_23_Sticker_Upsell_Text_Validation","Mobile Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5213","TC_21_Window_Sticker_Default_Plan","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","4610","TC_20_Default_Plan_Checking","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","5817","TC_01_VIN_Decode_17_Character_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
"","53251","TC_13_Classic_VIN_YMM_Edit_Validation","Desktop Chrome","2026-09-13","passed","2026-09-13","","tests/streaming2-e2e.spec.js","",""
